time [s],step [Step](/api/datatype/52/)
12430.5625,3016
12431.171875,3017
12431.609375,3018
12432.203125,3019
12433.203125,3020
12433.640625,3021
12434.25,3022
12434.671875,3023
12435.3125,3024
12435.71875,3025
12436.296875,3026
12436.734375,3027
12437.328125,3028
12438.3125,3029
12438.734375,3030
12439.3125,3031
12439.671875,3032
12440.359375,3033
12440.75,3034
12441.359375,3035
12441.71875,3036
12442.359375,3037
12442.75,3038
12443.359375,3039
12443.78125,3040
12444.375,3041
12444.828125,3042
12445.390625,3043
12446.390625,3044
12446.859375,3045
12447.4375,3046
12447.859375,3047
12448.484375,3048
12448.890625,3049
12449.53125,3050
12449.96875,3051
12450.5625,3052
12450.96875,3053
12451.578125,3054
12452.015625,3055
12452.609375,3056
12453.078125,3057
12453.703125,3058
12454.109375,3059
12454.734375,3060
12455.15625,3061
12455.734375,3062
12456.046875,3063
12456.734375,3064
12457.125,3065
12457.734375,3066
12458.21875,3067
12458.765625,3068
12459.125,3069
12459.734375,3070
12460.203125,3071
12460.78125,3072
12461.25,3073
12461.796875,3074
12462.203125,3075
12462.796875,3076
12463.21875,3077
12463.78125,3078
12464.21875,3079
12464.8125,3080
12465.25,3081
12465.78125,3082
12466.21875,3083
12466.796875,3084
12467.25,3085
12467.8125,3086
12468.265625,3087
12468.796875,3088
12469.25,3089
12469.828125,3090
12470.296875,3091
12470.84375,3092
12471.265625,3093
12471.84375,3094
12472.296875,3095
12472.84375,3096
12473.21875,3097
12473.859375,3098
12474.25,3099
12474.9375,3100
12475.328125,3101
12475.890625,3102
12476.375,3103
12476.921875,3104
12477.34375,3105
12477.921875,3106
12478.390625,3107
12478.9375,3108
12479.359375,3109
12479.9375,3110
12480.359375,3111
12480.90625,3112
12481.375,3113
12481.984375,3114
12482.375,3115
12483.03125,3116
12483.5,3117
12484.0625,3118
12484.421875,3119
12485.125,3120
12485.5625,3121
12486.1875,3122
12486.625,3123
12487.203125,3124
12487.640625,3125
12488.234375,3126
12488.78125,3127
12489.234375,3128
12489.671875,3129
12490.140625,3130
12490.5,3131
12491.078125,3132
12491.546875,3133
12492.03125,3134
